District,MSOA21,MSOACD21,Topic,Indicator,Measure,Source,JSNA Chapter link,Value,Lower CI,Upper CI
Basingstoke and Deane,Basingstoke and Deane 001,E02004675 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7837.0,,
Basingstoke and Deane,Basingstoke and Deane 002,E02004676 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8133.0,,
Basingstoke and Deane,Basingstoke and Deane 003,E02004677 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7568.0,,
Basingstoke and Deane,Basingstoke and Deane 004,E02004678 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7670.0,,
Basingstoke and Deane,Basingstoke and Deane 005,E02004679 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11834.0,,
Basingstoke and Deane,Basingstoke and Deane 006,E02004680 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7677.0,,
Basingstoke and Deane,Basingstoke and Deane 007,E02004681 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,14453.0,,
Basingstoke and Deane,Basingstoke and Deane 008,E02004682 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7993.0,,
Basingstoke and Deane,Basingstoke and Deane 009,E02004683 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8605.0,,
Basingstoke and Deane,Basingstoke and Deane 010,E02004684 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,12146.0,,
Basingstoke and Deane,Basingstoke and Deane 011,E02004685 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8223.0,,
Basingstoke and Deane,Basingstoke and Deane 012,E02004686 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8721.0,,
Basingstoke and Deane,Basingstoke and Deane 013,E02004687 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7085.0,,
Basingstoke and Deane,Basingstoke and Deane 014,E02004688 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7720.0,,
Basingstoke and Deane,Basingstoke and Deane 015,E02004689 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5894.0,,
Basingstoke and Deane,Basingstoke and Deane 016,E02004690 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8077.0,,
Basingstoke and Deane,Basingstoke and Deane 017,E02004691 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8453.0,,
Basingstoke and Deane,Basingstoke and Deane 018,E02004692 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7324.0,,
Basingstoke and Deane,Basingstoke and Deane 019,E02004693 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7236.0,,
Basingstoke and Deane,Basingstoke and Deane 020,E02004694 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7886.0,,
Basingstoke and Deane,Basingstoke and Deane 021,E02004695 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8568.0,,
Basingstoke and Deane,Basingstoke and Deane 022,E02004696 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8836.0,,
East Hampshire,East Hampshire 001,E02004697 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7113.0,,
East Hampshire,East Hampshire 002,E02004698 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6871.0,,
East Hampshire,East Hampshire 003,E02004699 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11777.0,,
East Hampshire,East Hampshire 004,E02004700 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7259.0,,
East Hampshire,East Hampshire 006,E02004702 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7951.0,,
East Hampshire,East Hampshire 007,E02004703 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,12630.0,,
East Hampshire,East Hampshire 008,E02004704 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6701.0,,
East Hampshire,East Hampshire 009,E02004705 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9645.0,,
East Hampshire,East Hampshire 010,E02004706 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8228.0,,
East Hampshire,East Hampshire 011,E02004707 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11594.0,,
East Hampshire,East Hampshire 012,E02004708 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9386.0,,
East Hampshire,East Hampshire 013,E02004709 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8525.0,,
East Hampshire,East Hampshire 014,E02004710 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6523.0,,
East Hampshire,East Hampshire 016,E02006829 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7767.0,,
East Hampshire,East Hampshire 017,E02006838 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7073.0,,
Eastleigh,Eastleigh 001,E02004712 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8878.0,,
Eastleigh,Eastleigh 002,E02004713 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7853.0,,
Eastleigh,Eastleigh 003,E02004714 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7677.0,,
Eastleigh,Eastleigh 004,E02004715 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9244.0,,
Eastleigh,Eastleigh 005,E02004716 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8690.0,,
Eastleigh,Eastleigh 006,E02004717 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,13543.0,,
Eastleigh,Eastleigh 007,E02004718 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9221.0,,
Eastleigh,Eastleigh 008,E02004719 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,12442.0,,
Eastleigh,Eastleigh 009,E02004720 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11948.0,,
Eastleigh,Eastleigh 010,E02004721 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,12269.0,,
Eastleigh,Eastleigh 011,E02004722 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7243.0,,
Eastleigh,Eastleigh 012,E02004723 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,10180.0,,
Eastleigh,Eastleigh 013,E02004724 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9723.0,,
Eastleigh,Eastleigh 014,E02004725 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5720.0,,
Eastleigh,Eastleigh 015,E02004726 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6086.0,,
Fareham,Fareham 001,E02004727 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,10105.0,,
Fareham,Fareham 002,E02004728 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9567.0,,
Fareham,Fareham 003,E02004729 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7355.0,,
Fareham,Fareham 004,E02004730 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9046.0,,
Fareham,Fareham 005,E02004731 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7650.0,,
Fareham,Fareham 006,E02004732 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8851.0,,
Fareham,Fareham 007,E02004733 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8081.0,,
Fareham,Fareham 008,E02004734 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,10512.0,,
Fareham,Fareham 009,E02004735 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7591.0,,
Fareham,Fareham 010,E02004736 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8057.0,,
Fareham,Fareham 011,E02004737 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7559.0,,
Fareham,Fareham 012,E02004738 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7177.0,,
Fareham,Fareham 013,E02004739 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6927.0,,
Fareham,Fareham 014,E02004740 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7076.0,,
Gosport,Gosport 001,E02004741 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7358.0,,
Gosport,Gosport 002,E02004742 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7294.0,,
Gosport,Gosport 003,E02004743 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7324.0,,
Gosport,Gosport 004,E02004744 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8921.0,,
Gosport,Gosport 005,E02004745 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8727.0,,
Gosport,Gosport 006,E02004746 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11689.0,,
Gosport,Gosport 007,E02004747 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6543.0,,
Gosport,Gosport 008,E02004748 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,10156.0,,
Gosport,Gosport 009,E02004749 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7324.0,,
Gosport,Gosport 010,E02004750 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8280.0,,
Hart,Hart 001,E02004751 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8620.0,,
Hart,Hart 002,E02004752 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8009.0,,
Hart,Hart 003,E02004753 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11262.0,,
Hart,Hart 004,E02004754 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7154.0,,
Hart,Hart 005,E02004755 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,13194.0,,
Hart,Hart 006,E02004756 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,10567.0,,
Hart,Hart 007,E02004757 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7912.0,,
Hart,Hart 008,E02004758 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9882.0,,
Hart,Hart 009,E02004759 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8213.0,,
Hart,Hart 010,E02004760 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11402.0,,
Hart,Hart 011,E02004761 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7760.0,,
Havant,Havant 003,E02004764 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8724.0,,
Havant,Havant 004,E02004765 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5996.0,,
Havant,Havant 005,E02004766 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7323.0,,
Havant,Havant 006,E02004767 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5785.0,,
Havant,Havant 007,E02004768 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5398.0,,
Havant,Havant 008,E02004769 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6191.0,,
Havant,Havant 009,E02004770 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6800.0,,
Havant,Havant 010,E02004771 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9221.0,,
Havant,Havant 011,E02004772 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9238.0,,
Havant,Havant 013,E02004774 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11023.0,,
Havant,Havant 014,E02004775 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11130.0,,
Havant,Havant 015,E02004776 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6465.0,,
Havant,Havant 016,E02004777 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5686.0,,
Havant,Havant 017,E02004778 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6582.0,,
Havant,Havant 018,E02006822 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9799.0,,
Havant,Havant 019,E02006830 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6940.0,,
Havant,Havant 020,E02006831 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6233.0,,
New Forest,New Forest 001,E02004779 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11307.0,,
New Forest,New Forest 002,E02004780 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5881.0,,
New Forest,New Forest 003,E02004781 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8208.0,,
New Forest,New Forest 004,E02004782 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7840.0,,
New Forest,New Forest 005,E02004783 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6984.0,,
New Forest,New Forest 006,E02004784 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5945.0,,
New Forest,New Forest 007,E02004785 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5787.0,,
New Forest,New Forest 008,E02004786 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8438.0,,
New Forest,New Forest 009,E02004787 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7378.0,,
New Forest,New Forest 010,E02004788 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6877.0,,
New Forest,New Forest 011,E02004789 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,10410.0,,
New Forest,New Forest 012,E02004790 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8414.0,,
New Forest,New Forest 013,E02004791 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5285.0,,
New Forest,New Forest 014,E02004792 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8552.0,,
New Forest,New Forest 015,E02004793 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7839.0,,
New Forest,New Forest 016,E02004794 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7045.0,,
New Forest,New Forest 017,E02004795 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9083.0,,
New Forest,New Forest 018,E02004796 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9501.0,,
New Forest,New Forest 019,E02004797 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7766.0,,
New Forest,New Forest 020,E02004798 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5978.0,,
New Forest,New Forest 021,E02004799 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8389.0,,
New Forest,New Forest 022,E02004800 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7986.0,,
New Forest,New Forest 023,E02004801 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8156.0,,
Rushmoor,Rushmoor 001,E02004802 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6611.0,,
Rushmoor,Rushmoor 002,E02004803 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6763.0,,
Rushmoor,Rushmoor 003,E02004804 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6899.0,,
Rushmoor,Rushmoor 004,E02004805 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8608.0,,
Rushmoor,Rushmoor 005,E02004806 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8126.0,,
Rushmoor,Rushmoor 006,E02004807 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9532.0,,
Rushmoor,Rushmoor 007,E02004808 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,12330.0,,
Rushmoor,Rushmoor 008,E02004809 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,13443.0,,
Rushmoor,Rushmoor 009,E02004810 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7943.0,,
Rushmoor,Rushmoor 010,E02004811 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7789.0,,
Rushmoor,Rushmoor 011,E02004812 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6565.0,,
Rushmoor,Rushmoor 012,E02004813 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5964.0,,
Test Valley,Test Valley 001,E02004814 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6990.0,,
Test Valley,Test Valley 002,E02004815 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7028.0,,
Test Valley,Test Valley 004,E02004817 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7938.0,,
Test Valley,Test Valley 005,E02004818 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,9898.0,,
Test Valley,Test Valley 006,E02004819 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8095.0,,
Test Valley,Test Valley 007,E02004820 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7683.0,,
Test Valley,Test Valley 008,E02004821 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,5079.0,,
Test Valley,Test Valley 009,E02004822 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8216.0,,
Test Valley,Test Valley 010,E02004823 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,8937.0,,
Test Valley,Test Valley 011,E02004824 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,6430.0,,
Test Valley,Test Valley 012,E02004825 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,11069.0,,
Test Valley,Test Valley 013,E02004826 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,10917.0,,
Test Valley,Test Valley 014,E02004827 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7093.0,,
Test Valley,Test Valley 015,E02004828 ,Demography,Total resident population (2023),Value = Number of residents,Data source: HCC Small Area Population Forecasts (2023),JSNA Chapter link: JSNA Demography,7803.0,,
