indicator_id,indicator_label,area_code,area_name,area_type,sex,age,year,value,lower_ci,upper_ci,count,denominator,compared_to_england
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2007,252.45249,213.90982,295.83119,158,74904,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2007,339.30076,306.57374,374.51066,411,150474,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2007 - 09,379.24972,350.85703,409.28699,692,229173,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2007 - 09,266.08585,243.10164,290.63048,509,227382,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2007 - 09,321.19695,302.9298,340.2612,1201,456555,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2008,342.65194,296.87302,393.35726,211,76335,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2008,286.923,246.43207,332.08555,185,75758,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2008,313.88498,283.12289,347.02651,396,152093,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2008 - 10,368.27557,340.8131,397.3264,694,231764,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2008 - 10,274.10209,250.93013,298.81461,530,230258,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2008 - 10,320.1385,302.13877,338.91608,1224,462022,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2009,366.83155,319.79435,418.72762,228,77268,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2009,259.07783,220.62718,302.22768,166,76720,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2009,311.62809,281.08826,344.53641,394,153988,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2009 - 11,370.13936,342.88189,398.95603,709,234351,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2009 - 11,270.71875,247.9307,295.01594,534,233315,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2009 - 11,319.42249,301.62296,337.98518,1243,467666,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2010,392.73284,345.10394,445.00007,255,78161,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2010,275.85932,236.39067,319.96203,179,77780,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2010,333.39859,302.25971,366.83391,434,155941,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2010 - 12,354.65815,328.43219,382.39311,701,237186,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2010 - 12,268.85429,246.44159,292.73709,544,236633,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2010 - 12,311.18273,293.87551,329.23139,1245,473819,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2011,350.74513,305.72512,400.4373,226,78922,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2011,275.17265,236.8144,317.90652,189,78815,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2011,312.21181,282.43369,344.23775,415,157737,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2011 - 13,338.80026,313.45484,365.62373,683,239876,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2011 - 13,251.91147,230.64428,274.59399,529,239756,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2011 - 13,294.62552,278.04039,311.93099,1212,479632,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2012,324.55438,282.38904,371.15823,220,80103,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2012,256.87184,219.86675,298.26093,176,80038,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2012,290.58972,262.26879,321.10126,396,160141,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2012 - 14,339.81914,314.86814,366.20053,706,242596,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2012 - 14,244.09803,223.45427,266.11966,526,242417,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2012 - 14,291.07077,274.84515,307.99524,1232,485013,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2013,342.4326,299.54413,389.66188,237,80851,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2013,226.43405,192.73141,264.2823,164,80903,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2013,283.13641,255.73494,312.64358,401,161754,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2013 - 15,345.70767,320.87371,371.93609,735,244952,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2013 - 15,242.64124,222.35369,264.26975,536,244471,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2013 - 15,292.90932,276.86459,309.63417,1271,489423,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2014,351.52551,308.77884,398.48753,249,81642,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2014,250.38646,215.35151,289.452,186,81476,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2014,299.70116,271.92038,329.52827,435,163118,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2014 - 16,350.71689,326.07029,376.7201,764,247286,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2014 - 16,244.50409,224.34303,265.98131,549,246248,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2014 - 16,296.38136,280.44493,312.98218,1313,493534,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2015,343.88782,302.08412,389.81389,249,82459,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2015,249.65603,214.85018,288.46612,186,82092,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2015,295.66723,268.31865,325.03031,435,164551,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2015 - 17,356.12426,331.6366,381.93247,795,248957,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2015 - 17,232.90408,213.50633,253.58522,535,247766,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2015 - 17,293.34867,277.7146,309.63025,1330,496723,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2016,356.72109,314.84688,402.58368,266,83185,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2016,232.54972,199.38177,269.63526,177,82680,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2016,293.32337,266.48415,322.12093,443,165865,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2016 - 18,361.19124,336.7562,386.92399,819,249752,Better
